game_id,venue,venue_time_zone_tz
2014021067,Scotiabank Saddledome,MDT
2014020037,BB&T Center,EDT
2014021140,Pepsi Center,MDT
2014020569,Madison Square Garden,EDT
2014020795,United Center,CDT
2014020964,Prudential Center,EDT
2014020357,Madison Square Garden,EDT
2014021151,Honda Center,PDT
2014020139,Prudential Center,EDT
2014020958,Verizon Center,EDT
2014020732,Madison Square Garden,EDT
2014021203,Madison Square Garden,EDT
2014020275,Scotiabank Saddledome,MDT
2014020606,Rogers Arena,PDT
2014020757,Rexall Place,MDT
2014020080,Prudential Center,EDT
2014020339,CONSOL Energy Center,EDT
2014020879,Rexall Place,MDT
2014020852,Bridgestone Arena,CDT
2014020900,Bridgestone Arena,CDT
2014020484,Nassau Coliseum,EDT
2014021102,First Niagara Center,EDT
2014020401,Scotiabank Saddledome,MDT
2014021043,PNC Arena,EDT
2014020600,PNC Arena,EDT
2014020221,Nassau Coliseum,EDT
2014021214,CONSOL Energy Center,EDT
2014020312,TD Garden,EDT
2014021216,Wells Fargo Center,EDT
2014021223,Nassau Coliseum,EDT
2014020820,American Airlines Center,CDT
2014020642,Honda Center,PDT
2014020199,Joe Louis Arena,EDT
2014020437,First Niagara Center,EDT
2014020690,American Airlines Center,CDT
2014021194,Amalie Arena,EDT
2014021149,First Niagara Center,EDT
2014020684,Wells Fargo Center,EDT
2014020763,Bridgestone Arena,CDT
2014020888,CONSOL Energy Center,EDT
2014020930,Pepsi Center,MDT
2014020614,Xcel Energy Center,CDT
2014020876,Centre Bell,EDT
2014020772,Scotiabank Saddledome,MDT
2014020675,Joe Louis Arena,EDT
2014020426,Amalie Arena,EDT
2014021227,American Airlines Center,CDT
2014020868,PNC Arena,EDT
2014020565,Honda Center,PDT
2014020166,Centre Bell,EDT
2014020039,Wells Fargo Center,EDT
2014020181,American Airlines Center,CDT
2014020804,Bridgestone Arena,CDT
2014020355,SAP Center at San Jose,PDT
2014020084,MTS Centre,CDT
2014020639,Gila River Arena,MST
